
BLDG 61 High Altitude Balloon Flight

Timestamp in UTC, Lat, Lon, Altitude in Feet, Temperature in Fahrenheit, Pressure in HectoPascals
INVALID,  INVALID, INVALID, INVALID, 5539.70, 73.06, 6754.00
6/21/2019 00:18:37.00, INVALID, INVALID, 5536.62, 73.18, 6750.25
6/21/2019 00:18:37.00, INVALID, INVALID, 5540.11, 73.06, 6754.50
6/21/2019 00:18:37.00, INVALID, INVALID, 5538.67, 73.18, 6752.75
6/21/2019 00:18:48.00, INVALID, INVALID, 5539.08, 73.06, 6753.25
6/21/2019 00:18:53.00, INVALID, INVALID, 5539.29, 73.18, 6753.50
6/21/2019 00:18:53.00, INVALID, INVALID, 5539.90, 73.18, 6754.25
6/21/2019 00:18:58.00, INVALID, INVALID, 5538.06, 73.18, 6752.00
6/21/2019 00:19:08.00, INVALID, INVALID, 5539.29, 73.18, 6753.50
6/21/2019 00:19:13.00, INVALID, INVALID, 5539.29, 73.18, 6753.50
6/21/2019 00:19:13.00, INVALID, INVALID, 5539.08, 73.18, 6753.25
6/21/2019 00:19:18.00, INVALID, INVALID, 5538.47, 73.18, 6752.50
6/21/2019 00:19:28.00, INVALID, INVALID, 5537.65, 73.18, 6751.50
6/21/2019 00:19:33.00, INVALID, INVALID, 5538.06, 73.18, 6752.00
6/21/2019 00:19:33.00, INVALID, INVALID, 5537.44, 73.18, 6751.25
6/21/2019 00:19:38.00, INVALID, INVALID, 5538.26, 73.18, 6752.25
6/21/2019 00:19:48.00, INVALID, INVALID, 5537.44, 73.29, 6751.25
6/21/2019 00:19:53.00, INVALID, INVALID, 5537.24, 73.29, 6751.00
6/21/2019 00:19:53.00, INVALID, INVALID, 5536.62, 73.29, 6750.25
6/21/2019 00:19:58.00, INVALID, INVALID, 5538.67, 73.29, 6752.75
6/21/2019 00:20:08.00, INVALID, INVALID, 5539.49, 73.29, 6753.75
6/21/2019 00:20:13.00, INVALID, INVALID, 5538.88, 73.18, 6753.00
6/21/2019 00:20:13.00, INVALID, INVALID, 5537.44, 73.29, 6751.25
6/21/2019 00:20:18.00, INVALID, INVALID, 5539.08, 73.18, 6753.25
6/21/2019 00:20:28.00, INVALID, INVALID, 5537.65, 73.18, 6751.50
6/21/2019 00:20:33.00, INVALID, INVALID, 5538.06, 73.29, 6752.00
6/21/2019 00:20:33.00, INVALID, INVALID, 5538.26, 73.18, 6752.25
6/21/2019 00:20:38.00, INVALID, INVALID, 5538.06, 73.18, 6752.00
6/21/2019 00:20:48.00, INVALID, INVALID, 5538.06, 73.29, 6752.00
6/21/2019 00:20:53.00, INVALID, INVALID, 5539.70, 73.18, 6754.00
6/21/2019 00:20:53.00, INVALID, INVALID, 5537.65, 73.18, 6751.50
6/21/2019 00:20:58.00, INVALID, INVALID, 5537.65, 73.18, 6751.50
6/21/2019 00:21:08.00, INVALID, INVALID, 5537.03, 73.18, 6750.75
6/21/2019 00:21:13.00, INVALID, INVALID, 5536.42, 73.29, 6750.00
6/21/2019 00:21:13.00, INVALID, INVALID, 5537.65, 73.29, 6751.50
6/21/2019 00:21:18.00, INVALID, INVALID, 5536.62, 73.29, 6750.25
6/21/2019 00:21:28.00, INVALID, INVALID, 5539.29, 73.18, 6753.50
6/21/2019 00:21:33.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:21:33.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:21:38.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:21:48.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:21:53.00, INVALID, INVALID, 5538.67, 73.29, 6752.75
6/21/2019 00:21:53.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:21:58.00, INVALID, INVALID, 5538.88, 73.29, 6753.00
6/21/2019 00:22:08.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:22:13.00, INVALID, INVALID, 5537.24, 73.29, 6751.00
6/21/2019 00:22:13.00, INVALID, INVALID, 5538.06, 73.29, 6752.00
6/21/2019 00:22:18.00, INVALID, INVALID, 5536.62, 73.29, 6750.25
6/21/2019 00:22:28.00, INVALID, INVALID, 5537.03, 73.29, 6750.75
6/21/2019 00:22:33.00, INVALID, INVALID, 5537.65, 73.29, 6751.50
6/21/2019 00:22:33.00, INVALID, INVALID, 5538.26, 73.29, 6752.25
6/21/2019 00:22:38.00, INVALID, INVALID, 5537.03, 73.29, 6750.75
6/21/2019 00:22:48.00, INVALID, INVALID, 5537.24, 73.29, 6751.00
6/21/2019 00:22:53.00, INVALID, INVALID, 5536.01, 73.40, 6749.50
6/21/2019 00:22:53.00, INVALID, INVALID, 5535.60, 73.40, 6749.00
6/21/2019 00:22:58.00, INVALID, INVALID, 5536.62, 73.40, 6750.25
6/21/2019 00:23:14.00, INVALID, INVALID, 5537.44, 73.40, 6751.25
6/21/2019 00:23:14.00, INVALID, INVALID, 5537.03, 73.29, 6750.75
6/21/2019 00:23:14.00, INVALID, INVALID, 5536.62, 73.29, 6750.25
6/21/2019 00:23:25.00, INVALID, INVALID, 5536.62, 73.40, 6750.25
6/21/2019 00:23:30.00, INVALID, INVALID, 5537.44, 73.40, 6751.25
6/21/2019 00:23:30.00, INVALID, INVALID, 5537.44, 73.40, 6751.25
6/21/2019 00:23:35.00, INVALID, INVALID, 5535.39, 73.40, 6748.75
6/21/2019 00:23:50.00, INVALID, INVALID, 5536.42, 73.40, 6750.00
6/21/2019 00:23:50.00, INVALID, INVALID, 5536.01, 73.40, 6749.50
6/21/2019 00:23:50.00, INVALID, INVALID, 5535.80, 73.40, 6749.25
6/21/2019 00:24:01.00, INVALID, INVALID, 5535.39, 73.40, 6748.75
6/21/2019 00:24:06.00, INVALID, INVALID, 5535.39, 73.40, 6748.75
6/21/2019 00:24:06.00, INVALID, INVALID, 5535.39, 73.40, 6748.75
6/21/2019 00:24:11.00, INVALID, INVALID, 5534.16, 73.40, 6747.25
6/21/2019 00:24:26.00, INVALID, INVALID, 5534.98, 73.40, 6748.25
6/21/2019 00:24:26.00, INVALID, INVALID, 5533.96, 73.40, 6747.00
6/21/2019 00:24:26.00, INVALID, INVALID, 5535.80, 73.40, 6749.25
6/21/2019 00:24:37.00, INVALID, INVALID, 5536.21, 73.40, 6749.75
6/21/2019 00:24:42.00, INVALID, INVALID, 5534.37, 73.40, 6747.50
6/21/2019 00:24:42.00, INVALID, INVALID, 5535.39, 73.40, 6748.75
6/21/2019 00:24:47.00, INVALID, INVALID, 5534.37, 73.40, 6747.50
6/21/2019 00:25:02.00, INVALID, INVALID, 5534.98, 73.40, 6748.25
6/21/2019 00:25:02.00, INVALID, INVALID, 5533.96, 73.51, 6747.00
6/21/2019 00:25:02.00, INVALID, INVALID, 5533.34, 73.51, 6746.25
6/21/2019 00:25:13.00, INVALID, INVALID, 5533.96, 73.51, 6747.00
6/21/2019 00:25:18.00, INVALID, INVALID, 5533.34, 73.51, 6746.25
6/21/2019 00:25:18.00, INVALID, INVALID, 5532.32, 73.62, 6745.00
6/21/2019 00:25:23.00, INVALID, INVALID, 5532.73, 73.62, 6745.50
6/21/2019 00:25:38.00, INVALID, INVALID, 5532.11, 73.62, 6744.75
6/21/2019 00:25:38.00, INVALID, INVALID, 5532.32, 73.62, 6745.00
6/21/2019 00:25:38.00, INVALID, INVALID, 5533.34, 73.62, 6746.25
6/21/2019 00:25:49.00, INVALID, INVALID, 5532.32, 73.62, 6745.00
6/21/2019 00:25:54.00, INVALID, INVALID, 5532.73, 73.62, 6745.50
6/21/2019 00:25:54.00, INVALID, INVALID, 5532.73, 73.62, 6745.50
6/21/2019 00:25:59.00, INVALID, INVALID, 5533.34, 73.62, 6746.25
6/21/2019 00:26:14.00, INVALID, INVALID, 5532.11, 73.62, 6744.75
6/21/2019 00:26:14.00, INVALID, INVALID, 5532.73, 73.62, 6745.50
6/21/2019 00:26:14.00, INVALID, INVALID, 5532.73, 73.62, 6745.50
6/21/2019 00:26:25.00, INVALID, INVALID, 5533.14, 73.62, 6746.00
6/21/2019 00:26:30.00, INVALID, INVALID, 5534.16, 73.62, 6747.25
6/21/2019 00:26:30.00, INVALID, INVALID, 5533.34, 73.62, 6746.25
6/21/2019 00:26:35.00, INVALID, INVALID, 5533.14, 73.62, 6746.00
6/21/2019 00:26:50.00, INVALID, INVALID, 5533.75, 73.62, 6746.75
6/21/2019 00:26:50.00, INVALID, INVALID, 5532.93, 73.62, 6745.75
6/21/2019 00:26:50.00, INVALID, INVALID, 5534.37, 73.62, 6747.50
6/21/2019 00:27:01.00, INVALID, INVALID, 5534.16, 73.74, 6747.25
6/21/2019 00:27:06.00, INVALID, INVALID, 5531.91, 73.74, 6744.50
6/21/2019 00:27:06.00, INVALID, INVALID, 5533.75, 73.74, 6746.75
6/21/2019 00:27:11.00, INVALID, INVALID, 5534.16, 73.74, 6747.25
6/21/2019 00:27:21.00, INVALID, INVALID, 5532.73, 73.85, 6745.50
6/21/2019 00:27:26.00, INVALID, INVALID, 5534.16, 73.85, 6747.25
6/21/2019 00:27:26.00, INVALID, INVALID, 5532.32, 73.96, 6745.00
6/21/2019 00:27:31.00, INVALID, INVALID, 5531.91, 73.96, 6744.50
6/21/2019 00:27:41.00, INVALID, INVALID, 5532.11, 73.96, 6744.75
6/21/2019 00:27:46.00, INVALID, INVALID, 5531.50, 74.07, 6744.00
6/21/2019 00:27:46.00, INVALID, INVALID, 5533.55, 73.96, 6746.50
6/21/2019 00:27:51.00, INVALID, INVALID, 5533.34, 74.07, 6746.25
6/21/2019 00:28:01.00, INVALID, INVALID, 5532.11, 74.07, 6744.75
6/21/2019 00:28:06.00, INVALID, INVALID, 5531.70, 74.07, 6744.25
6/21/2019 00:28:06.00, INVALID, INVALID, 5533.34, 74.07, 6746.25
